t_s,TimeUS,mode,armed,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
5.239,531604269,17,1,1500,1500,1536,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.279,531644217,17,1,1500,1500,1537,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.319,531684239,17,1,1500,1500,1536,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.359,531724580,17,1,1500,1500,1536,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.399,531764517,17,1,1500,1500,1537,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.439,531804174,17,1,1500,1500,1537,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.479,531844208,17,1,1500,1500,1537,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.519,531884398,17,1,1500,1500,1559,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.559,531924385,17,1,1500,1500,1558,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.599,531964571,17,1,1500,1500,1558,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.639,532004158,17,1,1500,1500,1558,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.679,532044165,17,1,1500,1500,1558,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.719,532084425,17,1,1500,1500,1558,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.759,532124085,17,1,1500,1500,1558,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.799,532164322,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.839,532204191,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.879,532244173,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.919,532284163,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.959,532324400,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.999,532364279,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.039,532404529,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.079,532444117,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.119,532484102,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.159,532524061,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.199,532564201,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.239,532604152,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.279,532644152,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.319,532684142,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.359,532724125,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.399,532764237,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.439,532804038,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.479,532844101,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.519,532884076,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.559,532924063,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.599,532964272,17,1,1500,1500,1557,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.639,533004142,17,1,1500,1500,1558,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.679,533044023,17,1,1500,1500,1564,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.719,533084279,17,1,1500,1500,1564,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.759,533124289,17,1,1500,1500,1572,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.799,533164393,17,1,1500,1500,1586,1500,2000,2000,999,1500,999,999,2000,2000,880,880
6.839,533204048,17,1,1500,1500,1593,1500,2000,2000,999,1500,999,999,2000,2000,880,880
